,hand-infant,water-proj,adop,fee-freeze,el-aid,relig-school,anti-ban,aid-contras,mx-missile,immigration,synfuel,edu-spend,superfund,crime,duty-free,south-africa,class
367,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,0,democrat
368,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,democrat
369,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,republican
370,1,1,1,2,0,1,1,1,2,1,0,0,2,2,1,1,democrat
371,1,1,1,2,0,2,1,1,1,1,2,2,2,2,1,0,democrat
372,2,1,1,1,1,1,2,2,2,2,1,1,0,1,2,2,democrat
373,2,1,1,0,1,1,2,1,2,1,0,2,1,1,0,1,democrat
374,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
375,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,2,democrat
376,1,0,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
377,2,1,2,1,1,1,0,0,2,2,0,0,1,0,0,0,republican
378,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
379,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
380,1,1,1,2,2,1,0,1,1,2,1,2,1,2,1,1,democrat
381,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,0,democrat
382,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,0,democrat
383,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,democrat
384,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,democrat
385,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,democrat
386,2,0,1,2,1,1,2,1,2,2,1,2,2,2,2,0,democrat
387,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,0,democrat
388,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,0,democrat
389,1,2,1,2,2,2,1,1,1,0,1,2,2,2,1,0,democrat
390,0,0,2,2,0,1,0,2,2,2,1,1,2,1,2,0,democrat
391,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,democrat
392,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,republican
393,0,0,0,0,2,1,2,1,1,2,2,1,1,2,2,0,republican
394,1,1,0,0,0,1,2,2,2,2,1,2,1,2,2,1,democrat
395,1,1,1,0,2,2,2,1,2,2,1,0,2,2,1,1,democrat
396,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,1,democrat
397,1,1,2,2,1,0,2,2,2,2,1,2,1,1,2,1,democrat
398,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,democrat
399,2,1,2,1,0,1,2,2,2,1,2,1,1,1,2,2,republican
400,2,1,2,1,1,1,2,0,2,2,0,0,0,1,2,0,republican
401,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,republican
402,0,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,republican
403,2,1,2,1,1,1,2,2,2,1,2,1,0,1,2,2,republican
404,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
405,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
406,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,1,democrat
407,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,democrat
408,1,2,1,2,2,1,1,1,1,2,2,1,0,1,1,1,democrat
409,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
410,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,republican
411,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,democrat
412,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
413,1,1,1,1,1,1,1,1,2,1,0,0,0,1,2,1,republican
414,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,democrat
415,2,1,1,2,2,1,1,1,0,1,2,2,2,2,2,1,democrat
416,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,1,republican
417,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,democrat
418,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,democrat
419,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,democrat
420,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,republican
421,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,democrat
422,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,democrat
423,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,democrat
424,2,1,1,2,2,0,1,1,1,1,1,2,0,1,1,1,democrat
425,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,0,democrat
426,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
427,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,republican
428,0,0,0,2,2,2,1,1,1,1,2,2,1,2,1,1,democrat
429,1,2,1,2,0,2,1,1,1,1,2,1,2,0,1,1,democrat
430,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,republican
431,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,democrat
432,2,0,2,1,1,1,2,2,2,2,1,1,1,1,2,1,republican
433,2,2,2,1,1,1,0,0,0,0,2,1,1,1,2,1,republican
434,2,1,2,1,1,1,2,2,2,1,2,1,1,1,0,2,republican
